text_id	lookup_key	number	title	subtitle	sort_key	artist	min_bpm	max_bpm	level1	notes1	level2	notes2	level3	notes3	level4	notes4	level5	notes5	limited	hidden	deleted	activated	event	added_at	deleted_at
mottainightland	mottainightland	80	もったいないとらんど		モッタイナイトランド	きゃりーぱみゅぱみゅ	160	160	10	92	26	151	36	185					FALSE	FALSE	TRUE	TRUE	きゃりーぱみゅぱみゅフェスティバル	2014/5/7	2016/6/21
wheresthesilentmajority	wheresthesilentmajority	81	(Where's)THE SILENT MAJORITY?		wheresthe silent majority	高橋優	155	155	17	131	34	237	67	497					FALSE	FALSE	TRUE	TRUE	Next Break Artistコラボ 第2弾	2014/4/28	2016/6/21
parallelspec	parallelspec	82	パラレルスペック		パラレルスペック	ゲスの極み乙女。	138	138	14	154	35	259	61	407					FALSE	FALSE	TRUE	TRUE	Next Break Artistコラボ 第2弾	2014/4/28	2016/6/21
yell	yell	83	エール		エール	FullMooN	130	190	8	72	17	141	52	236					FALSE	FALSE	FALSE	TRUE	Next Break Artistコラボ 第2弾	2014/4/28
sundropremix	sundropremix	84	Sundrop	(Remix ver.)	sundrop remix	Yamajet	150	150	30	155	48	254	79	517					FALSE	TRUE	FALSE	TRUE	第5回ランダムセレクト祭	2014/4/28
nakamawosagashitai	nakamawosagashitai	85	仲間を探したい		ナカマヲサガシタイ	神聖かまってちゃん	135	135	14	99	32	138	53	227					FALSE	FALSE	TRUE	TRUE	unBORDEレーベル特集 第2弾	2014/5/22	2016/6/21
ainochikyusai	ainochikyusai	86	愛の地球祭		アイノチキュウサイ	チームしゃちほこ	127	145	17	98	40	201	59	343					FALSE	FALSE	TRUE	TRUE	unBORDEレーベル特集 第2弾	2014/5/22	2016/6/21
dontstopthemusic	dontstopthemusic	87	Don't Stop The Music	feat. 森高千里	dont stop the music	tofubeats	110	110	17	130	32	170	56	381					FALSE	FALSE	TRUE	TRUE	unBORDEレーベル特集 第2弾	2014/5/22	2016/6/21
fever	fever	88	フィーバー		フィーバー	パスピエ	135	135	28	149	48	317	68	405					FALSE	FALSE	TRUE	TRUE	MIDSUMMER杯	2014/7/14	2016/6/21
gimmechoco	gimmechoco	89	ギミチョコ!!		ギミチョコ	BABYMETAL	220	220	18	97	39	294	70	555					FALSE	FALSE	FALSE	TRUE	BABYMETALキャンペーン	2014/5/22
ijimedamezettai	ijimedamezettai	90	イジメ、ダメ、ゼッタイ		イジメダメゼッタイ	BABYMETAL	160	160	17	130	35	206	66	389					FALSE	FALSE	FALSE	TRUE	BABYMETALキャンペーン	2014/5/22
