text_id	seq	span_s	span_e
orbitalvelocity	3	2018-02-01 04:00:00 +0900	2018-03-01 04:00:00 +0900
regenerationray	4	2018-02-01 04:00:00 +0900	2018-03-01 04:00:00 +0900
historia	5	2018-02-01 04:00:00 +0900	2018-03-01 04:00:00 +0900
theblademaster	1	2018-03-01 04:00:00 +0900	2018-04-01 04:00:00 +0900
orbitalvelocity	2	2018-03-01 04:00:00 +0900	2018-04-01 04:00:00 +0900
ryuseidemocracy	3	2018-03-01 04:00:00 +0900	2018-04-01 04:00:00 +0900
breakdown	4	2018-03-01 04:00:00 +0900	2018-04-01 04:00:00 +0900
wanyowanyo	5	2018-03-01 04:00:00 +0900	2018-04-01 04:00:00 +0900
orbitalvelocity	1	2018-04-01 04:00:00 +0900	2018-05-01 04:00:00 +0900
ryuseidemocracy	2	2018-04-01 04:00:00 +0900	2018-05-01 04:00:00 +0900
yeji	3	2018-04-01 04:00:00 +0900	2018-05-01 04:00:00 +0900
binaryoverdrive	4	2018-04-01 04:00:00 +0900	2018-05-01 04:00:00 +0900
yumemirufune	5	2018-04-01 04:00:00 +0900	2018-05-01 04:00:00 +0900
ryuseidemocracy	1	2018-05-01 04:00:00 +0900	2018-06-01 04:00:00 +0900
yeji	2	2018-05-01 04:00:00 +0900	2018-06-01 04:00:00 +0900
pyromania	3	2018-05-01 04:00:00 +0900	2018-06-01 04:00:00 +0900
freakwithme	4	2018-05-01 04:00:00 +0900	2018-06-01 04:00:00 +0900
otherside	5	2018-05-01 04:00:00 +0900	2018-06-01 04:00:00 +0900
nextfrontier	1	2018-06-01 04:00:00 +0900	2020-12-31 04:00:00 +0900
dazzlingseason	2	2018-06-01 04:00:00 +0900	2020-12-31 04:00:00 +0900
hoshitachinomelody	3	2018-06-01 04:00:00 +0900	2020-12-31 04:00:00 +0900
dirtymouth	4	2018-06-01 04:00:00 +0900	2020-12-31 04:00:00 +0900
lotuslove	5	2018-06-01 04:00:00 +0900	2020-12-31 04:00:00 +0900
